branch	sha	etat	dernier_commit	auteur
PST-51	0b251e25bcb7c23f26331eb6f6b7a8bd0ab0f0f4	NON-fusionnee	2025-12-11	Phenixel
PST-58	7687d2659421197da7583b54bf0cdd20622c7656	NON-fusionnee	2025-06-10	elsadadoun
PST-59	da429af95d4d3b8065433ec9aaecf577375f9278	NON-fusionnee	2025-07-02	Aaron S
PST-61	12b7ca671e51a20a38764acec787ed4ed47b9e17	NON-fusionnee	2025-12-11	Phenixel
PST-62	5e711d056aafc0b122c311eb8e25fd67752c8be8	NON-fusionnee	2026-03-25	Claude
PST-65	26d083c734ef8c790fb5d4cdd6a2c9a44ad22071	NON-fusionnee	2025-12-30	Phenixel
PST-67	8c0ced0f5f522c008189d4053beae25952ee9cb3	NON-fusionnee	2025-12-29	Phenixel
PST-69	3430f7a52bf8a21a59371daab118470fd8c1c9f6	NON-fusionnee	2025-12-29	Phenixel
PST-70	5ed9320e80fbb8a2b97a32f576aebdddfd41aef4	NON-fusionnee	2025-12-30	Phenixel
PST-72	8da04fd97631a22370f07d604ab8f9f84bfbce5e	NON-fusionnee	2026-03-03	Phenixel
PST-80	0ed86f9484a9d39de89460602e126777155e45ff	NON-fusionnee	2026-03-30	Phenixel
better-again	32eee3820f27e4ab843adbd13d6f48355ad58f19	NON-fusionnee	2025-12-08	Phenixel
chore/indexnow	3375921c5acbfb93faa911c1bf19fb9b16610131	NON-fusionnee	2026-06-21	Phenixel
chore/revue-globale-securite-fiabilite-perf	9f659ec020de1640d4704fb673aa56682eaa5741	fusionnee	2026-07-01	Phenixel
cicd_trigger	5e397f07aab7915349d85493f4ff1806004ae493	NON-fusionnee	2025-07-02	milkshake308
claude/alara-library-section-i3gnhz	22bcd78e913992044a169796076b03265f5a6f72	NON-fusionnee	2026-07-01	Claude
claude/analytics-dashes-cleanup-k4vcp3	e6cbb42f7b7dc9b26a746340bee90bb84f45dce9	NON-fusionnee	2026-07-20	Claude
claude/app-notifications-profile-updates-9wt21d	93896171528d85f2b013e557610b9985949c6c84	fusionnee	2026-07-20	Claude
claude/audio-player-responsive-fix-d5ww98	f26fb8ee42eefba9788294e88437530039a00daa	fusionnee	2026-07-15	Claude
claude/bottom-elements-overlap-zz2f7o	6cf588bdf95855b199d4f9ce4e07aa0c4044cd68	fusionnee	2026-07-21	Claude
claude/capacitor-poc	8dcea585951b660d0aec667fbb3a65be542ec484	fusionnee	2026-07-19	Claude
claude/chiourim-share-link-fix-mo2khp	8bcfc9808eaad6b48a69930d4647755258fc5523	NON-fusionnee	2026-07-21	Claude
claude/daily-reading-alerts-h75cwa	acbfd42dcdec6845061d6a743652a6e92df64b07	fusionnee	2026-08-06	Yonathan Cardoso
claude/dark-mode-timeline-login-ougk7z	6d16c87392e22a850aeb67f7985a142b7aaa4b33	NON-fusionnee	2026-06-21	Claude
claude/design-sync-petitejerusalem-7rq61d	23a00f2d16ffe9ae6f31c7724223a6f735e0e88e	NON-fusionnee	2026-07-02	Claude
claude/display-local-schedules-iydtd3	0dcb9a9f5a2280c088df34b32d21b6ac07d9e1e8	fusionnee	2026-08-05	Yonathan Cardoso
claude/focused-haibt-af9838	75e80cb962918c1f2f3245fdae7b2bc649cc67e3	fusionnee	2026-07-28	Claude
claude/guest-optional-email-xhoy55	139dc767b752165548de14588c1a0fb8677566d8	fusionnee	2026-07-22	Claude
claude/hebrew-letters-text-numbers-7opkf5	79c4d9e828ff226401015d87361e7630f91cd647	NON-fusionnee	2026-06-22	Claude
claude/infinite-loop-library-return-8dpe28	ec1c24e189465fc5fb507fe30b064ed2fd2d2150	fusionnee	2026-08-06	Claude
claude/jerusalem-stone-wall-bg-838qny	3897e158d84aa60c4053acc7cd24d36fae5bbedf	fusionnee	2026-07-05	Claude
claude/keen-ritchie-ad77ca	aff0b49f456f248f8ff73ad29a669deb1067f066	fusionnee	2026-07-02	Phenixel
claude/library-search-all-tabs-gq7h3m	68fa670cc74b041da20e25cfa5bc81d58cd811f2	fusionnee	2026-06-30	Phenixel
claude/lire-button-session-id-bug-2lxf9e	4ed175d0b40e551b14eb7ee65e9ed05cdd7b8a5c	fusionnee	2026-08-04	Claude
claude/mobile-app-offline-reading-y1g1fq	32f4125720e1a6fea6e20c4aa5585c42b4d03941	fusionnee	2026-07-15	Claude
claude/offline-reading-mobile-odlns0	4c1f92eb66bd9c8ce8d9b7d244eb9a99514ce978	fusionnee	2026-08-07	Yonathan Cardoso
claude/pages-dashboard-reorganization-er6f2f	33bb9b07a05970405638531cc3dc8f62c54f7d1a	fusionnee	2026-08-04	Claude
claude/performance-audit-tracker-fdj49c	5fdf34f9e83169615bb71ef8bae6ac36605f5e63	fusionnee	2026-07-29	Yonathan Cardoso
claude/petite-jerusalem-reservation-hydration-0t4wpp	87a58f89e130dd39f7aa3ca4a3a6fa6231e72924	NON-fusionnee	2026-08-04	Claude
claude/pirke-avot-json-7xeauv	0addada248f1cd36f4df006ea416c57de24f2f86	NON-fusionnee	2026-06-21	Claude
claude/poster-design-elements-1uv1yt	f18b993da1e3dd4444627636da30111414cfb463	NON-fusionnee	2026-07-21	Claude
claude/profile-daily-reading-list-cnathr	ebfbac57d2a66fbb2a95dcb8e015a8f137f9f762	fusionnee	2026-06-28	Claude
claude/prop-fable-design-27q70e	a6d7df1d5030bb81f114028c306a80602908a19e	fusionnee	2026-07-02	Phenixel
claude/pst-65-chiourim-list-IaLy8	5961684d599170c46ae165c9d09be97a736a146c	NON-fusionnee	2026-03-26	Phenixel
claude/pst-73-theme-selection-609gs	b74f29c877e5be0e8644b83f071fc0e1717d88cc	NON-fusionnee	2026-03-29	Claude
claude/reading-back-sibling-texts	d3bdf217c106492b24fd342323423b398974c84e	NON-fusionnee	2026-06-22	Claude
claude/reading-back-to-chapter-list	b6c4f16a589dbe0d88afce71eff3e90dd626a5f0	NON-fusionnee	2026-06-21	Claude
claude/reservation-popup-name-collection-45l2z1	17961e5c14ec8a20f7baa08279d4872e2a424278	fusionnee	2026-07-29	Claude
claude/review-prs-branches-invpE	f9fa015540cf6f443ffeee73b363b197fc18f2b2	NON-fusionnee	2026-03-03	Yonathan Cardoso
claude/sefaria-readings-integration-ahmt32	e5a5c73bd0c3d79bb65f2bff53fca9c1ae3f8e8a	NON-fusionnee	2026-06-21	Phenixel
claude/simplify-daily-reading-list-pg3nqm	1d276aa86441cad7160bcd3a6b7709cef5b25a6d	fusionnee	2026-06-30	Phenixel
claude/site-global-modifications-36bdqh	d9f2970b91224e4c93b4b5efd28ab4f198067e50	fusionnee	2026-08-05	Claude
claude/stability-structure-refactor-k2oa81	9abb3e870afca81832175d6c16abd37889a3c313	fusionnee	2026-08-05	Claude
claude/test-wall-static	3b56732862b61f9ab8b79735466a13605d33c8d7	NON-fusionnee	2026-07-29	Claude
claude/update-readme-add-claude-docs-5idCt	1095e51a6257ab7e6d5fc70d76e24c71003c74b9	NON-fusionnee	2026-03-29	Claude
claude/website-seo-social-sharing-e22xu5	4d128dd764cd73258e477a9073f47d9d60ecadea	NON-fusionnee	2026-06-14	Claude
content/confident-wording	bb73f05b3e9eb1e0e1e4cb6928608bacb954381e	NON-fusionnee	2026-06-28	Claude
content/confident-wording-v2	afe67f95808abcbb021b59f25c904956e6ae1722	fusionnee	2026-06-30	Phenixel
feat/app-polish-mobile-ux	8218fa12c30bccd3d62b9fbc774eb6303425cacd	fusionnee	2026-07-20	Claude
feat/backoffice-chiourim	79215b13990ab6240a27e76d088ffa3840f5bdbe	fusionnee	2026-07-21	Claude
feat/bibliotheque-montees-reprise	58eb5aaaea01aa10ba256f754447cab772ef3cf2	fusionnee	2026-07-31	Claude
feat/chiourim-firestore-migration	fb922a89ce5b67b7d1a4331192ff0247ee207e55	fusionnee	2026-06-29	Phenixel
feat/ci-play-store-listing	afad14c4dae6d082829c765ca4319b5187829ee2	fusionnee	2026-07-21	Claude
